"","organ","immune_annotation","age_group","cell_type_count","organ_cell_count","normalized_prop"
"790","Lung","Type 3 innate lymphoid cells","12_months",112,443286,0.000252658554522363
"791","Lung","Type 3 innate lymphoid cells","16_months",80,215261,0.000371641867314562
"792","Lung","Type 3 innate lymphoid cells","23_months",178,411339,0.000432733098490539
"793","Muscle","CD4+ Ccr9+ T helper cells","03_months",1,51422,1.94469293298588e-05
"794","Muscle","CD4+ Ccr9+ T helper cells","06_months",3,123664,2.42592832190452e-05
"795","Muscle","CD4+ Ccr9+ T helper cells","12_months",3,107454,2.79189234463119e-05
"796","Muscle","CD4+ Ccr9+ T helper cells","16_months",41,65995,0.000621259186301993
"797","Muscle","CD4+ Ccr9+ T helper cells","23_months",10,120445,8.30254472995973e-05
"798","Muscle","CD4+ T follicular helper cells","03_months",3,51422,5.83407879895764e-05
"799","Muscle","CD4+ T follicular helper cells","06_months",4,123664,3.23457109587269e-05
"800","Muscle","CD4+ T follicular helper cells","12_months",16,107454,0.000148900925046997
"801","Muscle","CD4+ T follicular helper cells","16_months",148,65995,0.00224259413591939
"802","Muscle","CD4+ T follicular helper cells","23_months",81,120445,0.000672506123126738
"803","Muscle","CD4+ T regulatory cells","03_months",11,51422,0.000213916222628447
"804","Muscle","CD4+ T regulatory cells","06_months",7,123664,5.6604994177772e-05
"805","Muscle","CD4+ T regulatory cells","12_months",31,107454,0.000288495542278556
"806","Muscle","CD4+ T regulatory cells","16_months",104,65995,0.00157587696037579
"807","Muscle","CD4+ T regulatory cells","23_months",63,120445,0.000523060317987463
"808","Muscle","CD4+ memory T cells","03_months",6,51422,0.000116681575979153
"809","Muscle","CD4+ memory T cells","06_months",37,123664,0.000299197826368224
"810","Muscle","CD4+ memory T cells","12_months",32,107454,0.000297801850093994
"811","Muscle","CD4+ memory T cells","16_months",44,65995,0.000666717175543602
"812","Muscle","CD4+ memory T cells","23_months",72,120445,0.000597783220557101
"813","Muscle","CD4+ naive T cells","03_months",126,51422,0.00245031309556221
"814","Muscle","CD4+ naive T cells","06_months",33,123664,0.000266852115409497
"815","Muscle","CD4+ naive T cells","12_months",130,107454,0.00120982001600685
"816","Muscle","CD4+ naive T cells","16_months",226,65995,0.00342450185620123
