"","03_months-Prkdc","03_months-Rag","03_months-WT","06_months-WT","12_months-WT","16_months-Prkdc","16_months-Rag","16_months-WT","23_months-WT","cell_type_id","pval_WT_03_06","qval_WT_03_06","pval_WT_06_12","qval_WT_06_12","pval_WT_12_16","qval_WT_12_16","pval_WT_16_23","qval_WT_16_23","pval_WT_03_16","qval_WT_03_16","pval_WT_06_23","qval_WT_06_23","qval_WT_03_16_corrected","qval_WT_06_23_corrected","LFC_16_over_03_WT","LFC_23_over_06_WT"
"1",0.000263193979114018,0.000228772905238397,0.000376729321229326,0.000540186669773025,0.000198251571067048,0.000224848811496264,0.000797948447027229,7.84025499563056e-05,0.00035583998612557,"Adipocytes-Liver",0.00566615593037538,0.00708269491296923,0.0190826974131646,0.0238533717664557,0.0158496180749204,0.0176106867499116,5.78725061771257e-15,6.43027846412508e-15,5.63811071769755e-06,9.39685119616258e-06,0.176230191327154,0.176230191327154,8.86518724690601e-06,0.201526391039186,-2.25009553294424,-0.600849016831315
"2",2.08559018637542e-05,1.28385162138385e-05,1.5247016784142e-05,4.27859750264498e-05,4.51193398315545e-05,5.80319057970162e-05,3.85216491668318e-05,1.73076198503906e-05,0.00886949880067235,"Cacna1b positive cells-Liver",0.569512183286944,0.569512183286944,0.0697512263341174,0.0697512263341174,0.444841462705941,0.444841462705941,0,0,0.624618330601512,0.694020367335013,0,0,0.651894240234766,0,0.172269400195492,7.66240258349721
"3",0.00672576622439349,0.00585351033538913,0.00764961413362828,0.00679806167346628,0.00415332384066622,0.00577941654490037,0.00310253994945506,0.00516280353859257,0.00632953754894437,"Cholangiocytes-Liver",0.0316555182784093,0.0351727980871215,1.56185139148276e-07,2.2312162735468e-07,0.000731097391562577,0.000913871739453221,0.000758236227577151,0.000758236227577151,0.000980967297450952,0.00140138185350136,2.53854393090422e-07,3.17317991363028e-07,0.00131714148365605,4.21327777420909e-07,-0.567141448037102,-0.103007646964754
"4",0.0222010986543768,0.0277627791996833,0.028969699581542,0.0324594933189668,0.023696809426184,0.0326086357676458,0.0222037092807483,0.0300311041514063,0.0390165360064565,"Hepatic stellate cells-Liver",1.99736423175522e-11,3.99472846351045e-11,7.14611109768645e-10,1.19101851628108e-09,8.57074617079606e-09,1.42845769513268e-08,3.76326302791369e-212,5.3760900398767e-212,2.86218582985449e-22,7.15546457463622e-22,8.39710225500386e-210,1.39951704250064e-209,7.35550982080885e-22,5.14591651011775e-209,0.0519110354760085,0.265437747857366
"5",0.853377742778904,0.789533828803153,0.803288144664672,0.79146282614247,0.865273067174136,0.803813749506895,0.879033847700648,0.820762580148213,0.64309934362033,"Hepatocytes-Liver",7.85379443822935e-11,1.30896573970489e-10,2.76662092205121e-17,6.91655230512801e-17,1.9608072167918e-17,4.9020180419795e-17,0,0,7.49373508724747e-28,2.49791169574916e-27,0,0,2.21111442697796e-27,0,0.031047334835944,-0.299479553150949
"6",4.46991478164369e-05,0.000131950311791605,0.0120590998421124,0.0177653022687051,0.0139753514905506,0.000179766685681542,0.000124461984607912,0.0227257812670817,0.063931447622965,"Lymphoid cells_B cells-Liver",1.65488022783014e-65,1.65488022783014e-64,3.34930900997045e-10,6.69861801994089e-10,2.52244576378459e-85,2.52244576378459e-84,0,0,1.71414071394494e-285,1.71414071394494e-284,0,0,3.15138177409877e-284,0,0.914151522657704,1.84740488579394
"7",0.00415299196410606,0.00565531999114267,0.0145333970448861,0.017032815050123,0.0104856906905569,0.00736227530181993,0.0053016576041644,0.0223237309099231,0.0436551739378699,"Lymphoid cells_T cells-Liver",3.22852859638752e-14,8.07132149096881e-14,1.13928976998219e-18,3.79763256660729e-18,2.50318677511569e-09,5.00637355023139e-09,0,0,3.36586384661182e-176,1.68293192330591e-175,0,0,3.65655208791011e-175,0,0.619171563052282,1.35778410644068
"8",0.00145029431111681,0.00133383219841876,0.00119081320279822,0.00211930546073123,0.000812457436162992,0.00129628646812382,0.000879187193807123,0.000807855762784091,0.0023840194702432,"Mesothelial cells-Liver",1.3622616418376e-15,4.54087213945865e-15,0.0238715049942777,0.0265238944380863,0.000232719509377448,0.000332456441967783,2.13694944387749e-30,2.67118680484686e-30,0.577601440190394,0.694020367335013,5.13206984042438e-05,5.70229982269376e-05,0.613541085357796,7.57138698679893e-05,-0.559203769041207,0.169728922911736
"9",0.0497275352529495,0.0921177121530718,0.0572673722174396,0.0516853199837789,0.0347857517034818,0.0835618327864058,0.0470753929915448,0.0437021882735179,0.121690054668591,"Myeloid cells-Liver",1.98665903522544e-10,2.83808433603635e-10,2.39649902717591e-48,1.19824951358795e-47,9.49985731048184e-48,4.74992865524092e-47,0,0,0.885070231290915,0.885070231290915,0,0,0.900135256504378,0,-0.390000064900239,1.23536872899202
"10",0.0620358217853594,0.0773694555858972,0.0746498829749078,0.0800939034569598,0.0465741773273625,0.0651151562212344,0.0414427331988304,0.0543882457786744,0.0706685483378015,"Vascular endothelial cells-Liver",1.99804180708438e-19,9.99020903542189e-19,9.37266266439491e-77,9.37266266439491e-76,2.09719306892982e-21,6.9906435630994e-21,0,0,4.80907915100558e-12,9.61815830201115e-12,2.88475909067101e-203,4.1210844152443e-203,9.65857073185153e-12,1.72364355667593e-202,-0.456837904800263,-0.180621756489489
